ID,sports,tvsports,exercise,dining,art,hiking,gaming,clubbing,reading,tv,theater,movies,music,shopping,yoga,sports_partner,tvsports_partner,exercise_partner,dining_partner,art_partner,hiking_partner,gaming_partner,clubbing_partner,reading_partner,tv_partner,theater_partner,movies_partner,music_partner,shopping_partner,yoga_partner,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,attractive,sincere,intelligence,funny,ambition,age,age_o,age_flag,age_radius,longitude,latitude,distance_km,interest_flag,gender,gender_text,gender_partner,gender_partner_him,gender_partner_her,gender_partner_them,gender_partner_text
1,2.0,7.0,5.0,7.0,7.0,6.0,2.0,7.0,7.0,5.0,7.0,6.0,7.0,7.0,7.0,2.0,7.0,4.0,7.0,8.0,6.0,2.0,8.0,7.0,5.0,7.0,6.0,8.0,7.0,7.0,1.0,2.0,4.0,3.0,2.0,5.0,5.0,6.0,6.0,4.0,33,24,0,0,9.962616785668006,45.70627504552144,10,1,3,"they,them","[0.0, 1.0, 0.0]",0,1,0,"he.him,she,her"
2,6.0,3.0,6.0,7.0,7.0,6.0,2.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,4.0,6.0,2.0,6.0,7.0,8.0,6.0,2.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,2.0,3.0,3.0,3.0,7.0,6.0,7.0,5.0,6.0,28,27,1,28,7.738712,43.744764,30,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
3,4.0,3.0,2.0,6.0,7.0,3.0,3.0,7.0,8.0,7.0,5.0,7.0,6.0,7.0,2.0,3.0,2.0,2.0,6.0,8.0,3.0,3.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,7.0,6.0,6.0,7.0,27,22,0,0,18.061335,40.609047,20,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
4,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,4.0,4.0,7.0,3.0,1.0,8.0,8.0,3.0,7.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,7.0,4.0,1.0,5.0,26,33,1,10,11.325854,45.496547,40,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
5,9.0,7.0,8.0,5.0,6.0,4.0,3.0,7.0,6.0,6.0,4.0,6.0,7.0,7.0,4.0,9.0,6.0,8.0,5.0,6.0,4.0,3.0,8.0,6.0,6.0,4.0,6.0,8.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,7.0,7.0,8.0,23,26,1,73,15.871142,38.240124,10,1,2,"she,her","[1.0, 1.0, 1.0]",1,1,1,"he,him,she,her,they,them"
6,4.0,2.0,2.0,8.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,6.0,3.0,4.0,2.0,2.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,6.0,6.0,9.0,5.0,7.0,29,26,0,0,15.79435,38.043484,20,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
7,7.0,7.0,7.0,7.0,5.0,3.0,2.0,6.0,4.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0,3.0,1.0,3.0,6.0,6.0,2.0,4.0,3.0,2.0,5.0,7.0,6.0,8.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,8.0,7.0,8.0,33,29,1,5,15.345875,41.47322,40,0,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
8,7.0,2.0,5.0,4.0,6.0,5.0,4.0,3.0,8.0,3.0,6.0,8.0,7.0,3.0,3.0,8.0,2.0,4.0,4.0,6.0,5.0,4.0,3.0,8.0,3.0,6.0,8.0,8.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,8.0,4.0,6.0,5.0,25,25,1,35,11.990185,45.860022,10,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
9,8.0,7.0,5.0,5.0,6.0,4.0,3.0,8.0,4.0,5.0,7.0,7.0,8.0,8.0,5.0,8.0,2.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,4.0,6.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,7.0,6.0,8.0,26,30,0,0,9.203039,44.243761,50,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
10,7.0,5.0,7.0,7.0,6.0,3.0,4.0,8.0,7.0,3.0,4.0,4.0,6.0,7.0,3.0,5.0,3.0,6.0,2.0,6.0,2.0,3.0,9.0,1.0,7.0,2.0,7.0,5.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,8.0,7.0,8.0,7.0,8.0,29,33,1,36,16.671799,39.134122,100,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
