City,Latitude,Longitude
Catanzaro,39.18608,16.711575
Savona,44.190185,8.689321
Savona,44.31611,8.3383
Catania,37.719432,14.830717
Parma,44.519143,10.277781
Cremona,45.010439,9.747939
Padova,45.582391,11.836182
Perugia,43.36883,12.293679
Trento,46.125869,11.092773
Bologna,44.312059,11.56107
Trieste,45.677881,13.709563
Savona,44.275397,8.724762
Trento,46.278493,11.328067
Foggia,41.168722,15.810395
Treviso,45.43953,11.973727
Pordenone,45.824514,12.462012
Bolzano,46.34348,11.558013
Novara,45.69174,8.662467
Bologna,44.578618,11.354688
Messina,38.473795,15.332659
Verona,45.21803,11.017399
Messina,37.946061,15.633612
Varese,45.675108,8.666195
Siena,43.493393,11.321919
Campobasso,41.645504,14.84559
Varese,45.842779,8.702986
Verona,45.562032,11.080296
Vicenza,45.817454,11.251632
Trapani,37.912464,12.72339
Ancona,43.741934,13.515111
Arezzo,43.369709,11.947583
Imperia,43.683341,8.028075
Udine,45.894064,13.156133
Parma,45.075256,10.43875
Varese,45.837147,9.067803
Modena,44.359196,10.90891
Brindisi,40.751385,17.795903
Bolzano,46.253051,11.236441
Cremona,45.325341,9.951295
Pisa,43.898818,10.620441
Ravenna,44.485523,12.256526
Lecce,40.244678,17.950304
Bologna,44.640632,11.188796
Siena,43.117842,11.471156
Reggio Calabria,38.058183,15.774561
Firenze,43.998365,11.048236
Ravenna,44.492319,12.360366
Lecce,40.577124,18.202404
Udine,46.266776,13.003189
Campobasso,41.785858,14.608375
Messina,38.481058,15.828221
Genoa,44.337657,8.910695
Udine,46.311988,13.061938
Terni,42.853668,12.556421
La Spezia,44.231318,9.721773
Siena,43.466176,11.278506
La Spezia,43.864626,9.947876
Firenze,43.802342,11.0185
Verona,45.286051,11.103595
Treviso,45.680714,12.120556
Brindisi,40.504349,17.940356
Torino,45.220713,7.775692
Potenza,40.716089,15.707049
Bolzano,46.198488,11.310495
Verona,45.695518,11.00149
Bari,41.414056,16.711471
Venezia,45.713966,12.455638
Potenza,40.495371,15.99548
Treviso,45.601641,12.23
Reggio Calabria,37.84568,15.896055
Trieste,45.60843,13.482694
Pisa,43.717517,10.267589
Bologna,44.697804,11.563516
Pisa,43.46444,10.215248
Catanzaro,38.8758,16.856777
Firenze,43.857809,11.333404
Palermo,38.238373,13.340682
La Spezia,44.223061,9.57363
Cagliari,39.040069,9.384506
Parma,44.867731,10.161486
Pordenone,45.874485,12.801135
La Spezia,44.374943,9.92833
Catania,37.579881,14.878154
Pavia,45.365818,9.036412
Lucca,44.124458,10.331468
Lucca,44.015244,10.338954
Trapani,38.268644,12.527738
Savona,44.278566,8.698828
Savona,44.570704,8.563458
Mantova,44.989167,10.497339
Verona,45.173388,11.26378
Messina,38.191562,15.461511
Lucca,43.813324,10.22613
Mantova,44.995026,10.975544
Treviso,45.488164,12.471246
Torino,44.812783,7.762433
Ancona,43.624672,13.663072
Bari,41.303053,16.860861
Trieste,45.432606,13.736417
Treviso,45.602481,12.513556
Torino,45.250622,7.590811
Arezzo,43.703323,11.689836
Varese,45.67591,8.540231
Brindisi,40.580372,17.940656
Milano,45.197549,9.364963
Verona,45.276529,11.186535
Modena,44.855953,10.917183
Cagliari,39.290071,9.245886
Bolzano,46.590523,11.442316
Padova,45.653449,11.667701
Foggia,41.522837,15.763264
Taranto,40.605432,17.487282
Siena,43.179466,11.3709
Torino,45.310118,7.908979
Venezia,45592,12.493535
Foggia,41.462827,15.324608
Venezia,45.472212,12.058654
Novara,45.204698,8.825558
Catania,37.724728,14.863985
Varese,45.790221,8.828102
Pavia,45.439716,9.254706
Taranto,40.595249,17.52666
Vicenza,45.353643,11.757689
Savona,44.421885,8.203109
Treviso,45.433537,12.135033
Modena,44.454093,10.694558
Trento,46.363857,11.065458
Trento,45.85847,11.286885
Brindisi,40.68475,17.871935
Bolzano,46.768871,11.0621
Parma,44.518759,10.540139
Padova,45.204919,11.629376
Ancona,43.557696,13.432087
Mantova,45.091276,10.752985
Reggio Calabria,38.214189,15.784663
Siena,43.545618,11.299648
Messina,38.295106,15.455269
Foggia,41.629395,15.49908
Padova,45.49835,12.146548
Padova,45.673924,11.969407
Pavia,45.076279,9.184478
Bologna,44.729053,11.564641
Palermo,37.872912,13.379072
Torino,45.039403,7.654983
Savona,44.032082,8.553321
Messina,38.10545,15.390138
Imperia,43.853908,7.971516
Taranto,40.676465,17.114707
Catanzaro,39.138951,16.760964
Pisa,43.48344,10.482188
Bolzano,46.213034,11.177826
Cagliari,39.511689,8.968252
La Spezia,44.088551,9.643008
Savona,44.535392,8.595909
Torino,45.229039,7.738329
Torino,45.025695,7.460203
Torino,44.968356,7.959397
Perugia,43.006758,12.629395
Bologna,44.463849,11.154569
Parma,44.687709,10.57155
Torino,45.182944,7.408745
Potenza,40.693372,16.077189
Reggio Calabria,38.078246,15.681953
Catanzaro,38.671312,16.786909
Novara,45.665704,8.781993
Pavia,45.419282,9.165164
Campobasso,41.50193,14.508075
Parma,45.024862,10.530162
Verona,45.517986,10.812845
Venezia,45.196389,12.530056
Taranto,40.72249,17.067583
Siena,43.028658,11.605188
Taranto,40.464489,17.212437
Cremona,45.111525,10.253103
Napoli,41.077933,14.353443
Torino,45.354324,7.513324
Lucca,43.972074,10.432713
Napoli,41.06471,14.423297
Catanzaro,38.85435,16.754423
Terni,42.607258,12.60067
Napoli,41.082744,13.971078
Potenza,40.618253,15.513883
Firenze,43.521415,11.025288
Cremona,45.267244,10.247889
Mantova,44.929364,10.830213
Pisa,43.782297,10.470191
Taranto,40.228671,17.346174
Novara,45.605853,8.490355
Bolzano,46.417945,11.075029
Udine,46.147743,13.333096
Pordenone,45.85803,12.503529
Potenza,40.521938,15.736144
Trapani,38.181589,12.446354
Modena,44.639679,10.641223
Reggio Calabria,38.349946,15.916052
Torino,45.284389,7.837213
Lecce,40.57217,18.077885
Reggio Calabria,38.113169,15.445874
Trapani,37.949073,12.375208
Pordenone,45.728025,12.739355
Savona,44.160504,8.443983
Cremona,44.843612,10.116458
Catania,37.361971,15.016243
Lucca,43.632245,10.744636
Catania,37.234556,14.932006
Modena,44.677748,10.766433
Cagliari,39.244135,8.981807
Pavia,45.476758,9.272034
Parma,44.956335,10.084573
Vicenza,45.58053,11.485989
Parma,44.619716,10.263612
Udine,45.840743,13.100503
Pisa,43.468201,10.311119
Firenze,43.479447,11.498788
Genoa,44.268117,8.827302
Trento,46.172059,10.913365
Modena,44.565551,10.739388
Verona,45.183316,10.77113
Messina,38.035832,15.624128
Mantova,45.218077,10.985865
Pisa,43.537365,10.243961
Treviso,45.692939,12.079813
Mantova,44.931882,10.607438
Terni,42.829392,12.777372
Verona,45.597642,10.767215
Terni,42.806937,12.439967
Pavia,45.388034,9.287021
Taranto,40.306368,17.435158
Varese,45.682155,8.793967
Modena,44.912113,10.981251
Udine,46.051073,13.359802
Torino,44.786523,7.526559
Trapani,37.764663,12.544353
Arezzo,43.371258,11.648885
Novara,45.622722,8.834642
Vicenza,45.618827,11.525558
Taranto,40.410195,17.075767
Lucca,43.942119,10.47742
Bologna,44.778629,11.130196
Palermo,37.824138,13.443115
Bari,40.948853,16.801702
Foggia,41.673405,15.290745
Bari,41.014137,16.720314
La Spezia,44.387135,9.526978
Varese,45.951598,8.871794
Palermo,37.823524,13.43602
La Spezia,43.92694,9.747867
Perugia,43.176404,12.378548
Pordenone,45.768702,12.888713
Genoa,44.485588,8.767899
Novara,45.422882,8.867588
Padova,45.596425,12.083684
Firenze,43.644826,10.957798
La Spezia,44.289526,9.939495
Udine,45.896482,13.043654
Pisa,43.603603,10.629115
Bari,41.206795,17.106649
Brindisi,40.488738,17.678045
Campobasso,41.762877,14.770488
Mantova,44.910591,10.778874
Cagliari,39.140912,9.232125
Perugia,43.406523,12.603808
Pavia,45.122159,8.862678
Trento,46.104553,10.989358
Catania,37.490236,14.798315
Torino,44.903767,7.810036
Novara,45.542296,8.756274
Parma,44.651736,10.40171
Cremona,45.03626,10.076076
Udine,46.170562,13.066095
La Spezia,44.047587,9.826433
La Spezia,43.925848,9.667499
Mantova,45.152524,10.57861
Novara,45.303497,8.658884
Bari,41.095664,16.613176
Lecce,40.422646,18.084798
Palermo,37.903162,13.520945
Venezia,45.493781,12.134758
Bologna,44.354814,11.446717
Trento,45.874358,11.364377
Torino,45.084986,7.652297
Modena,44.394399,10.795824
Arezzo,43.75119,11.714234
Bolzano,46.726151,11.123345
Parma,45.001604,10.055082
